date	edition	section	page	length	head	hash	year	month
text595784	2016-03-30	朝刊	京都市内・１地方	31	379	京都市議会の政活費「目的外支出９０００万円」　オンブズが監査請求　／京都府	28f4fe80b2d98f8da4dc66eee8b8f931	2016	3
text595785	2016-03-30	朝刊	京都市内・１地方	31	1760	平和訴える、いのちの限り　８９歳・元高校教諭、右京の医王さん　安保法施行／京都府	d39cc283625060a48d86d7cabf08cfe8	2016	3
text595786	2016-03-30	朝刊	石川全県・１地方	31	509	「憲法をないがしろに」　安保法施行、金沢でも抗議活動　／石川県	eb317895801cf2fb31e02c29cd8e4eb1	2016	3
text595787	2016-03-30	朝刊	高知全県・１地方	31	713	安保法「廃止を」　４市民団体が会見　／高知県	c93da74cf655da639d860e79bb20f30b	2016	3
text595788	2016-03-30	朝刊	香川全県・１地方	31	311	ママの会＠香川、安保法廃止訴え　ＪＲ高松駅前　／香川県	5f1fd76b3718f9d2f11a1b0d52213aa8	2016	3
text595789	2016-03-30	朝刊	愛媛全県・１地方	31	389	学者や市民、街頭デモ行進　安保法施行、松山でも抗議　／愛媛県	f74c7b2ee10f538ddefc603a573bfdd4	2016	3
text595790	2016-03-30	朝刊	山口・２地方	32	237	安保法施行抗議、首相地元で集会　下関　／山口県	39cd5a1bb4386bd1eb9b35d505debd69	2016	3
text595791	2016-03-30	朝刊	岐阜全県・１地方	33	362	投票率上げるプロジェクト、朝日大生を表彰　明るい選挙推進協会　／岐阜県	faca96141f061bffec481606ba8cca30	2016	3
text595792	2016-03-30	朝刊	大分全県・１地方	33	454	安保法「あきらめぬ」　反対する市民団体、廃止求め署名活動　／大分県	47c3517b43fa84e0d3cbb17c3aaf8896	2016	3
text595793	2016-03-30	朝刊	佐賀全県・１地方	33	1118	主権者の自覚、どう持たせる　１８歳選挙権、学校現場で試行錯誤　／佐賀県	10ebef3701ce7c8f439953f53d5a5fdf	2016	3
text595794	2016-03-30	朝刊	宮崎全県・１地方	33	621	３野党と市民団体、参院選へ連携組織　「オールひむかネット」　／宮崎県	afb0924acd254eb22276d2b4a32b5b8a	2016	3
text595795	2016-03-30	朝刊	３社会	36	1233	文科省、自治体対応把握へ　朝鮮学校補助再考を通知　【大阪】	bae1a0f5d7cf7387e810db6d5723c0e2	2016	3
text595796	2016-03-30	朝刊	２社会	36	306	参院山口選挙区、３野党が統一候補　山口大副学長を擁立へ　【西部】	becc150bb90b5b40ed555893f84fe12a	2016	3
text595797	2016-03-30	朝刊	２社会	38	499	おおさか維新代表、核保有の是非「議論を」　松井氏、トランプ氏発言受け　【大阪】	86348b5cce88a43c06faa8ecfd69b886	2016	3
text595798	2016-03-30	朝刊	２社会	38	361	橋下氏後援会が解散　０７年設立、府知事選から支援　【大阪】	8ef346f2a5baaf4f9b40f3ef2768ebad	2016	3
text595799	2016-03-30	朝刊	１社会	39	2356	防火、犠牲者減らす鍵　首都直下地震、２０００件同時出火想定	5514f19f1382cc20a4ffe78342106101	2016	3
text595800	2016-03-30	朝刊	１社会	39	2150	安保法施行、私たちは　ＮＯの声、参院選へつなぐ　【大阪】	a6898ddeb6149f41e97d9e0febc3b91a	2016	3
text595801	2016-03-31	朝刊	１総合	1	949	特定秘密の国会監視、困難　政府、詳細説明拒む　衆参審査会報告、適否判断見送り	fba2a931b36d11ddb6ef156f3a19bcea	2016	3
text595802	2016-03-31	夕刊	１総合	1	893	隔離法廷、最高裁謝罪へ　ハンセン病めぐる検証	3ee709ec0449bd0b6b503f7c12e34420	2016	3
text595803	2016-03-31	朝刊	２総合	2	2308	（時時刻刻）実質スーチー政権、誕生　軍の説得、民主化完成の鍵　ミャンマー	816cb60e8283f2ed95d23f68ff970504	2016	3
text595804	2016-03-31	朝刊	２総合	2	939	（いちからわかる！）ＮＨＫ予算の国会承認、全会一致でなかったね	7d2d2f497147cbb2cab810bbd543df3c	2016	3
text595805	2016-03-31	夕刊	２総合	2	313	デジタル版から　朝日新聞ＤＩＧＩＴＡＬ	e15f9916dbc5406337ed5c5f5b7130bc	2016	3
text595806	2016-03-31	夕刊	２総合	2	178	ブラジル、スポーツ相交代	85159c79c1e6ff9c22ba7eed2680f53c	2016	3
text595807	2016-03-31	朝刊	２総合	2	2227	（時時刻刻）窮状シャープ、譲歩の末　交渉長期化、融資期限迫り　【大阪】	d2351d0254eb60c9be41184f77638d83	2016	3
text595808	2016-03-31	朝刊	３総合	3	2926	（憲法を考える）改正項目示さず民意問う「免罪符」　自民改憲草案	f00a6c1e842e1df1cf4fc89becbdf0ae	2016	3
text595809	2016-03-31	朝刊	３総合	3	1304	強気の鴻海、迫った譲歩　シャープ買収決定	b6273011cc1df65529bcd7c7948ac2b0	2016	3
text595810	2016-03-31	朝刊	４総合	4	378	首相動静　３０日	673dfd0c00eebd1f2025b1471d15609e	2016	3
text595811	2016-03-31	朝刊	４総合	4	424	山口代表、首相に理解　同日選「決断すれば対応」	b61a27af04c6a177364cb4ab3c0b5c15	2016	3
text595812	2016-03-31	朝刊	４総合	4	195	核保安サミットへ渡米　安倍首相	df08ea5a6eca7ad6bcdc9cd746293a77	2016	3
text595813	2016-03-31	朝刊	４総合	4	2508	情報監視の目、阻む壁　何が秘密か秘密・過半数が与党・勧告に二の足	d52b617ad0afbf97fad48de459116cd1	2016	3
text595814	2016-03-31	夕刊	夕刊ｂｅ木曜２面	5	1223	（人生の贈りもの）わたしの半生　発明家、ドクター・中松：４　８７歳	b5a7c9bbbb83aa2e091e2f0bc32d3f22	2016	3
text595815	2016-03-31	朝刊	１経済	7	221	三菱重など、タイ鉄道受注	78006908e017a24b41e91bf1859055e1	2016	3
text595816	2016-03-31	朝刊	１経済	7	1469	北東アジア送電網構想、始動　ソフトバンクと中ロ韓の業界大手	8b4fb14b719d15f4ac832c546dba41ad	2016	3
text595817	2016-03-31	朝刊	２経済	9	976	訪日客「２０年に４０００万人」　消費は８兆円　政府、倍増目標	1851285b1293d484e9022506dfef6285	2016	3
text595818	2016-03-31	朝刊	１外報	11	533	日本からの核物質搬入、米知事が反発　核保安の「成果」、受け入れ先混乱	929fb03fb89a252ae90dca7664c61111	2016	3
text595819	2016-03-31	朝刊	１外報	11	522	厳戒下のベルギー、若者誘う不審メール　移民暮らすモランベーク	9ae1e545a01052588c0e71483aeeacc3	2016	3
text595820	2016-03-31	朝刊	１外報	11	1141	ルセフ政権、走る亀裂　ブラジル、最大政党が連立離脱　大統領の「弾劾」、攻防続く	cc2257618110b68b335ff631263f7a02	2016	3
text595821	2016-03-31	朝刊	２外報	12	2246	（興流インド）大国志向：下　ＨＩＶ治療、変えた後発薬　価格「１日１ドル」、南ア向け進出	d9b64c332d3ea5ff96fcca9b58cafc1d	2016	3
text595822	2016-03-31	朝刊	２外報	12	1058	南シナ海支配「今後も」　アジア太平洋安保会議・中国委員会、銭利華・副会長	f4565097b3bdf1ddeca7bd04130df5be	2016	3
text595823	2016-03-31	朝刊	オピニオン２	14	370	声・３月の投書	4e9bf8c22159d811b8a833f747c39a2b	2016	3
text595824	2016-03-31	朝刊	オピニオン２	14	1669	（ザ・コラム）原発再稼働　長期避難の支援策が先だ　上田俊英	e405ac13b419a5baad95f06703908436	2016	3
text595825	2016-03-31	朝刊	オピニオン２	14	449	（声）民進党は国民と共に進んで	743fc36276201d92bb0bc99a32a378ce	2016	3
text595826	2016-03-31	朝刊	オピニオン２	14	956	（社説）秘密と国会　追認機関ではいけない	195508c4f26ab03f307cf8210887cd30	2016	3
text595827	2016-03-31	朝刊	オピニオン１	15	1583	（あすを探る　家族・生活）仕事の「価値」を評価して　赤石千衣子	6722cd36e04342355bffb093fc01af08	2016	3
text595828	2016-03-31	朝刊	オピニオン１	15	760	論壇委員が選ぶ今月の３点	9e42e49eb8096644edb43cea8da43e63	2016	3
text595829	2016-03-31	朝刊	オピニオン１	15	745	（担当記者が選ぶ注目の論点）難民問題と従来の価値観	c45f72eb1ff643080a0c561bcf4eddf0	2016	3
text595830	2016-03-31	朝刊	宮城全県・１地方	27	325	阿部・東松島市長、引退の意向固める　来年４月に任期　／宮城県	e7fdaf79a5614d9172dec83f0ff40781	2016	3
text595831	2016-03-31	朝刊	宮城全県・１地方	27	653	（点検！新年度予算）切り出しから加工、一体支援で競争力　県が輸入材に対抗　林業・製材業／宮城県	812e42dcffc707fe8661ab569f363453	2016	3
text595832	2016-03-31	朝刊	長野東北信・１地方	27	1224	高校生、熱く語ろう選挙権　諏訪で来月２３日、生徒自ら企画・運営　／長野県	3bd77eba1c5ef4a48d631267c92f8424	2016	3
text595833	2016-03-31	朝刊	北海道総合	28	511	夕張財政再建１０年目、総合戦略を公表　市長、日本記者クラブで　／北海道	3bfd5332ce2998cbff33dc10041a48a5	2016	3
text595834	2016-03-31	朝刊	東京Ｂ・２地方	28	1049	放浪作家、型破りの生涯　評伝「きだみのる」、嵐山光三郎さん出版　／東京都	4176b53ffb1a28b6795014007cbfa41b	2016	3
text595835	2016-03-31	朝刊	千葉全県・２地方	28	386	（ちばの本）君津ゆかりの新井白石、偉業たどる　／千葉県	07231d3f20b8b4bdeddce99aa0f8adbf	2016	3
text595836	2016-03-31	朝刊	山梨全県・２地方	28	635	＜お知らせ＞４月から朝刊が変わります　／山梨県	05343650c2ae1ae5dc546f78174d22bd	2016	3
text595837	2016-03-31	朝刊	東京四域・１地方	29	339	世田谷区長「規制緩和だけで待機児童消えぬ」　政府方針に対し見解　／東京都	406dc936f1c8195be5551e6f0b92e192	2016	3
text595838	2016-03-31	朝刊	大阪府・２地方	30	6713	校長園長は１２３人異動　民間校長、任期更新も　大阪市教委人事　／大阪府	000a74422ec839edc79e88a2ebfe7c12	2016	3
text595839	2016-03-31	朝刊	教育１	31	419	ニュースでＱ	afe86bda243fe2f2bebdafe2070c2dbe	2016	3
text595840	2016-03-31	朝刊	福井全県・１地方	31	562	「沈黙せず反対の声を」　安保法制、駅前で抗議継続訴え　／福井県	9cfcde2c1a162d34a2c2cf043cbda75a	2016	3
text595841	2016-03-31	朝刊	高知全県・１地方	31	1624	県、７３１部隊講演の後援断る　複数部署「事業該当せず」　知事、判断に疑問／高知県	41657b651bf928ab331ef46ff0c2022c	2016	3
text595842	2016-03-31	朝刊	山口・１地方	31	3237	定住促進、アイデア競う　子育て支援にも力　１９市町、新年度当初予算分析　／山口県	61d005ee8e156105c56fd88d5b376750	2016	3
text595843	2016-03-31	朝刊	３社会	37	998	「南スーダンの宿営地に着弾」　駐屯地史料館に展示の銃弾	4530915b2bb3623bcb52947f731f037c	2016	3
text595844	2016-03-31	朝刊	３社会	37	300	「新潮４５」記事、橋下氏が敗訴　【大阪】	621f9c37961cd1caf4103b5fd9428d30	2016	3
text595845	2016-03-31	朝刊	１社会	39	2641	子宮頸がん、集団提訴へ　ワクチン「副作用」　国・製薬２社相手に	99e49796193b5d4614b60f21d1ce1bbc	2016	3
text595846	2016-04-01	朝刊	１総合	1	283	＜お知らせ＞天声人語の筆者、きょうから交代	132d0a1f6e82193688b3ee78b998bce5	2016	4
text595847	2016-04-01	夕刊	１総合	1	873	日米韓、防衛協力を強化　首脳会談、対北朝鮮・テロ対策　日韓、慰安婦合意履行を確認	0b0f5a7c1473f77c7e5bcc2a356574a7	2016	4
text595848	2016-04-01	夕刊	１総合	1	504	米大統領、普天間移設巡り懸念　安倍首相「急がば回れ」	3f4850484c53b134d3ce5300e6508aa4	2016	4
text595849	2016-04-01	夕刊	２総合	2	280	仏テロ容疑者の移送を認める　ベルギー予審裁判部	0336d658c970c3c6d536649c724219e7	2016	4
text595850	2016-04-01	夕刊	２総合	2	412	トルコで爆発、警官７人死亡	06dcb5a662321bc41eb38b6c07c2a1f0	2016	4
text595851	2016-04-01	夕刊	２総合	2	421	抗生物質の使用量「３分の２に減」　耐性菌対策、政府が数値目標	df13e252ccb26ae631a27f94455cf868	2016	4
text595852	2016-04-01	朝刊	３総合	3	1323	日韓の連携、米が仲介　同盟国の対立に危機感	bee5330b18ee1e9129dc72e40ad92374	2016	4
text595853	2016-04-01	朝刊	３総合	3	210	「韓国のＧＰＳ、北朝鮮が妨害」　韓国・電波管理所	30c6e0849612a677d4585a2e3fa26c4d	2016	4
text595854	2016-04-01	朝刊	４総合	4	440	新公文書館の候補地、憲政記念館敷地が最有力	09449b82524efbfd20a2007c2ea06641	2016	4
text595855	2016-04-01	朝刊	４総合	4	702	首相「独に財政出動説得したい」　クルーグマン教授、非公開会合の議事録公開	7cf8a6b0f45f704fd29f46d38f56ef3b	2016	4
text595856	2016-04-01	朝刊	４総合	4	274	保育事故防止、政府が初指針	b63fa863f67a62182c840a9d9952e014	2016	4
text595857	2016-04-01	朝刊	４総合	4	261	ＮＨＫ籾井会長、国会で陳謝	2b4bac28f66212e1b73f985ca5275950	2016	4
text595858	2016-04-01	朝刊	４総合	4	246	首相動静	1402fcd4a7678abd449b5880f9252979	2016	4
text595859	2016-04-01	朝刊	４総合	4	593	従業員向け保育所、認可外でも補助へ　今月創設、共同設置も支援	65a59e2c8a20909bce99483a22ca5ba2	2016	4
text595860	2016-04-01	夕刊	夕刊ｂｅ金曜６面	4	754	（新美眼：１３５）蠣崎波響「夷酋列像　ツキノエ」　美の力、政治的な意図超えて【大阪】	6d41411e1f2ee223a4f423400be7b0a7	2016	4
text595861	2016-04-01	夕刊	夕刊ｂｅ金曜４面	6	1391	舞台　マリオン	16c8ac897e6a2305485f96450d65446d	2016	4
text595862	2016-04-01	朝刊	５総合	7	876	戦没者遺骨、収容強化へ　戻らない１１３万人分「国の責務」　政府、９年間「集中期間」	9083851f4fab4c1b7c69417c54e08353	2016	4
text595863	2016-04-01	朝刊	５総合	7	502	「医師、４０年に１．８万人過剰」　厚労省が推計結果	a38caaeef90e5177ee269bb1048f18a9	2016	4
text595864	2016-04-01	朝刊	５総合	7	660	生乳取引、事実上の自由化提言　規制改革会議、バター不足食い止め狙い	d70146d9586b0c271645e8a6a40a272b	2016	4
text595865	2016-04-01	朝刊	５総合	7	591	企業再生、支援３原則　国出資機関など指針　公取委	9865e7176026d1359da59c3e04b573cd	2016	4
text595866	2016-04-01	夕刊	１社会	7	1748	門出の春、決意新た　新年度スタート　【西部】	51b85703cf409618ddb2758a4b7912d8	2016	4
text595867	2016-04-01	朝刊	１経済	8	1456	旬の関西、高級ホテル続々　外国客に人気、催しも追い風　【大阪】	c5d4bdff099a87685211ace04a23160c	2016	4
text595868	2016-04-01	朝刊	１経済	9	350	ＦＳＢ、マイナス金利に懸念　カーニー議長「銀行収益に脆弱性」	0972191a1c2ec19b2d8dbb5a51f5d4b2	2016	4
text595869	2016-04-01	夕刊	２社会	10	283	福島の葛尾村、５年ぶりに役場機能戻る	5b8cfc6cf8c6d3087add58fcfebf1f80	2016	4
text595870	2016-04-01	朝刊	１外報	11	581	「国家顧問」を新設、スーチー氏就任案　政府全体を監督　ミャンマー	1fb74ab641c36bc22b5f68cd83e05583	2016	4
text595871	2016-04-01	朝刊	１外報	11	559	旧ユーゴの法廷、極右党首に無罪　戦犯判決、本人不在	6abd8c0469f4954bc443f139805c0935	2016	4
text595872	2016-04-01	朝刊	１外報	11	880	アサド氏、反体制派の暫定政府入り容認　シリア和平、なお溝	198a76e71fd7fefdde91e2a9b951e3bb	2016	4
text595873	2016-04-01	朝刊	１外報	11	234	（地球２４時）ＥＬＮと和平交渉へ　コロンビア政府	774465f142b48688f9ead068a4287777	2016	4
text595874	2016-04-01	朝刊	１外報	11	272	（地球２４時）議会占拠のデモ隊解散　パキスタン	cb99af8094d803d18db665e5f17ee3a3	2016	4
text595875	2016-04-01	朝刊	２経済	11	1792	（ミダス王の誘惑）物よりお金、求める現代　小野善康・阪大特任教授　【大阪】	7aaaf80e5174f9da369b09f1ffbbbb89	2016	4
text595876	2016-04-01	朝刊	２商況	12	719	（経済気象台）大砲かバターか	1088dad2c6262d5523d8098a4050285a	2016	4
text595877	2016-04-01	夕刊	２社会	12	795	新年度、変化の一歩　【大阪】	d1fe50eb02930aef6c18ce507bcd4c0a	2016	4
text595878	2016-04-01	朝刊	オピニオン２	14	965	（社説）シャープ・東芝　経営陣の責任は重い	6cdd87582c56aa0262d4094612bb537f	2016	4
text595879	2016-04-01	朝刊	オピニオン１	15	3573	（インタビュー）清貧の政治思想　前ウルグアイ大統領、ホセ・ムヒカさん	f1b6b570d863103b793b065067bb6d6d	2016	4
text595880	2016-04-01	朝刊	オピニオン１	15	2214	（異論のススメ）アメリカ経済学への従属　日本にみあった思想を　佐伯啓思	ff8141b0b7f35d148c74b0a6b612b6ee	2016	4
text595881	2016-04-01	朝刊	青森全県・２地方	24	3742	（声なき人々の側で　ルポライター鎌田慧の軌跡）振り返りインタビュー　／青森県	94068dab9460fbbc6700adb2cbb2bbb6	2016	4
text595882	2016-04-01	朝刊	岩手全県・２地方	24	1073	（再思三考　むのたけじ１０１歳の伝言）若者の行動、見守りたい　／岩手県	3d3660369724408e796a91387bbab14d	2016	4
text595883	2016-04-01	朝刊	１道	27	360	子ども子育て支援室、全振興局に設置　道庁人事　／北海道	0a6af0d018478520f90a8436053d1907	2016	4
text595884	2016-04-01	朝刊	滋賀全県・２地方	28	2043	遊・ＹＯＵ・友　／滋賀県	0f2299bb35eb736feecf62e74e208674	2016	4
text595885	2016-04-01	朝刊	愛媛全県・２地方	28	1430	イベントガイド　／愛媛県	113c65afa29b1ea43d45ceea36522a9d	2016	4
text595886	2016-04-01	朝刊	高知全県・２地方	28	2084	イベントガイド　／高知県	99756b9fa7ef4a585145c2578f2ea6e0	2016	4
text595887	2016-04-01	朝刊	鳥取全県・１地方	29	1238	４野党、福島氏支援確認　事実上の一騎打ちに　参院選合区　／鳥取県	87b9e3931259a86f98e49bd0210c1ea2	2016	4
text595888	2016-04-01	朝刊	埼玉西部・１地方	29	434	協働管理運営、事実上の終了　さいたま市サポセン　／埼玉県	c33f9d788d4f201b736a20439ca3321f	2016	4
text595889	2016-04-01	朝刊	島根・１地方	29	1413	４野党、福島氏支援確認　事実上の一騎打ちに　参院選合区　／島根県	b5df120b1c8ea68c47e301d798922ef1	2016	4
text595890	2016-04-01	朝刊	鳥取全県・１地方	29	401	ファミリーイナダ、大山工場を増設　県・町と支援協定　／鳥取県	73be7aaed2ef10c399567b83cad6e0ec	2016	4
text595891	2016-04-01	朝刊	熊本全県・１地方	31	369	上天草市議の政治倫理問う　施設跡巡り市民団体　／熊本県	53fddb1b42cb1c5962849daa3590ef06	2016	4
text595892	2016-04-01	朝刊	３社会	33	247	長崎教会群、文化庁に推薦案　【西部】	c028af4b72efee9de613f059859092b8	2016	4
text595893	2016-04-01	朝刊	３社会	33	1450	最高裁、異例の謝罪へ　ハンセン病隔離法廷「不適切」　【西部】	81319ac29a305f35623590663023baa7	2016	4
text595894	2016-04-01	朝刊	２社会	34	513	辺野古移設「反対」５８％　沖縄県民調査　【西部】	112587f7443e1999a099e8ac55d7197f	2016	4
text595895	2016-04-01	朝刊	２社会	38	748	最高裁、異例の謝罪へ　ハンセン病隔離法廷「不適切」	6d92ae3d70d5d5a4565338a1a09297c4	2016	4
text595896	2016-04-01	朝刊	１社会	39	432	山尾氏資金団体、上限超える寄付　収支報告書を訂正	36f6d36beee7c27d2a8c1c9cc51ac9da	2016	4
text595897	2016-04-01	朝刊	１社会	39	604	「お手伝い」政治意識向上？　文科省が主権者教育案　「大人の思惑」「唐突」困惑	c815e081ded33b2ae4953023184149f8	2016	4
text595898	2016-04-02	朝刊	１総合	1	571	高濃縮ウラン、米へ　京大の研究用　核保安サミット	f87b41d11cfe18d17a21f06b0a270d1a	2016	4
text595899	2016-04-02	夕刊	１総合	1	1186	テロ阻止、核の管理強化　情報共有を促進　保安サミット宣言	cbfc8ea27f6ed4128b5f1ac52fb86d33	2016	4
text595900	2016-04-02	夕刊	１総合	1	1396	電車運行、日本の技伝授　中古使うミャンマーに、広島で研修	9e2ec95dbb4ceb8bcc8c8175503c1104	2016	4
text595901	2016-04-02	夕刊	１総合	1	763	消費増税の適否「政治判断」　安倍首相、来春の実施巡り言及	03b2ba67113fe83fb15100b26b157946	2016	4
text595902	2016-04-02	朝刊	１総合	1	384	民営空港、流れ加速　関空・伊丹の次は仙台　【大阪】	951dfb5e57f6ffbbfac55a9ea49b21e4	2016	4
text595903	2016-04-02	夕刊	１総合	1	1427	（西発見）海猿支える多彩フナメシ　地元食材・郷土食も登場　【西部】	68a0825dd650842e020ed8b6c3826cde	2016	4
text595904	2016-04-02	朝刊	２総合	2	2349	（アベノミクス「分断」の現場：上）中小・零細、果実が落ちてこない　下請け、利益なき繁忙	d0adac33661ce5ad5271fadc839d0ca9	2016	4
text595905	2016-04-02	夕刊	２総合	2	323	経済やテロ対策、日印が首脳会談	e999a44cf2bf7684cd28f6d9746b92a5	2016	4
text595906	2016-04-02	朝刊	３総合	3	871	普天間和解、オバマ氏疑念　移設計画「遅れないように」	73f0267948d8031eb6b53e5c79dbfe2d	2016	4
text595907	2016-04-02	朝刊	３総合	3	1940	米中、迎撃ミサイル配備で溝　対北朝鮮制裁、協力は一致　首脳会談	13a5a569319c7da0064e0be14b1b2a6a	2016	4
text595908	2016-04-02	夕刊	Ｕ３５	3	2208	営業先での雑談ネタに困る若手会社員におくる１週間　ココハツ	54ea89a1c9b972177d0d5fc5812d65d1	2016	4
text595909	2016-04-02	朝刊	３総合	3	1369	「関空モデル」試金石　民営化スタート　【大阪】	88ee6b3c86934e9ccd50976724b766b9	2016	4
text595910	2016-04-02	朝刊	３総合	3	552	京大の核物質、米で処分　日米、計画を表明　核保安サミット　【大阪】	217b98e3c62e51d85298f9cca8ee1691	2016	4
text595911	2016-04-02	朝刊	４総合	4	327	「勝ちそうだから解散、いただけない」　河野元衆院議長、政権にダメ出し連発	03090721009f9605707702c79be6fdab	2016	4
text595912	2016-04-02	朝刊	４総合	4	513	政府、「９条は核兵器禁止せず」答弁書を決定　「三原則で保有しない」	93ee7a28966b3a14e05206e40b590582	2016	4
text595913	2016-04-02	朝刊	４総合	4	227	「給付型奨学金」提言へ　自民	d8a76d1e59b3b1ba67f8d1d8db5821ad	2016	4
text595914	2016-04-02	朝刊	４総合	4	1556	（憲法を考える）自民改憲草案・前文：２　「良き過去」国民に継承求める	937d96e86f5d4a5cba7ab0be181eeac6	2016	4
text595915	2016-04-02	朝刊	週末ｂｅ・ｂ０４	4	1236	（佐多芳彦の服装の歴史学）小袖：上　中近世の流行ファッション	06df71689ad842e435c1cc954dfb3cb4	2016	4
text595916	2016-04-02	朝刊	５総合	5	1074	慰安婦、具体的進展なし　日韓首脳、合意履行は一致	7528f69a164df2c091d31272d90b747c	2016	4
text595917	2016-04-02	朝刊	５総合	5	403	関西・伊丹空港、民間運営を開始	7e33981346eabdf830bbead61070d1b8	2016	4
text595918	2016-04-02	朝刊	１経済	6	151	外国企業９社に担当副大臣	1eaf97fe7cc28c926a0c641cfe5f53fd	2016	4
text595919	2016-04-02	朝刊	１経済	6	191	中国製造業の景況感、１．７ポイント改善　３月	d408d24129fa1ce3a029807e2eaff076	2016	4
text595920	2016-04-02	朝刊	１経済	6	121	生乳自由化「慎重に対応」　農水相	f40c1168861c7900acbf8fe207783579	2016	4
text595921	2016-04-02	朝刊	５商況	6	886	（知りたい投信　なるほどリッパー）投資対象を考える・新興国　長期的な成長、構造改革がカギ	395d096cb796430defc2ed9e1bbd16dc	2016	4
text595922	2016-04-02	夕刊	２社会	6	1229	スリランカへ強制送還　難民申請棄却で訴訟の準備中　入管局長答弁に反する疑い	32f5c184ba37c32c7670cacc17d5b9b5	2016	4
text595923	2016-04-02	夕刊	２社会	6	982	シベリア元抑留者、続く闘い　引き揚げ６０年「問題解決していない」　【大阪】	fd70941f7f8b0e8dea7ce6223f17bc98	2016	4
text595924	2016-04-02	夕刊	１社会	7	1600	路面電車の技、国境越え　ミャンマー鉄道員、広島で研修　【大阪】	1ccb0db09c8ea01db0fbe169c8deefea	2016	4
text595925	2016-04-02	朝刊	１外報	11	475	カストロ氏のオバマ氏演説批判、キューバ国内で反発相次ぐ	2fdffb562ce75d46a68092482d441ec7	2016	4
text595926	2016-04-02	朝刊	１外報	11	1247	ＩＳに突然拉致、１８カ月監禁　イラク、少数派ヤジディ教の少女証言	212b2399fe4b2c59fa6108d263b2a54d	2016	4
text595927	2016-04-02	朝刊	１外報	11	541	拘束された身内から批判　「脅された」見方も　習氏書簡問題、当局批判のジャーナリスト	060f3f7a11e1d41704bfd5efe6a13e25	2016	4
text595928	2016-04-02	朝刊	オピニオン２	12	501	（声）待機児童、根本的な解決策を	9e22d15bbc0255428fdc1d5925f8497b	2016	4
text595929	2016-04-02	朝刊	オピニオン２	12	255	朝日川柳　西木空人選	3e58819c58c994b27f3d3b750aea47e0	2016	4
text595930	2016-04-02	朝刊	オピニオン２	12	995	（社説）対北朝鮮政策　連携強め情勢変化探れ	422d67044bd5702b360e4e4008147c01	2016	4
text595931	2016-04-02	朝刊	オピニオン１	13	1187	（風　カイロから）日本式教育、「輸出」に期待　翁長忠雄	eed3eee0cb6b2359d67efa21eb1cd3ec	2016	4
text595932	2016-04-02	朝刊	オピニオン１	13	3610	（耕論）「１強」崩せますか　山尾志桜里さん、宇野重規さん、北原みのりさん	7440b34327db7920b9f3a56859be7438	2016	4
text595933	2016-04-02	朝刊	オピニオン１	13	1128	（私の視点）シリア難民　日本独自の受け入れ策を　長谷川祐弘	d8284e4b1c7c440bd61a8ef6020bde77	2016	4
text595934	2016-04-02	朝刊	東京Ｂ・２地方	22	834	朝鮮学校生、旅先の素顔　北朝鮮へ修学旅行、映画に　在日３世監督　／東京都	abff5dfab1158f79d012e76219926352	2016	4
text595935	2016-04-02	朝刊	埼玉全県・２地方	22	1514	（きょういくトーク埼玉）十文字学園女子大教授・片居木英人さんに聞く　／埼玉県	70c0962ac37192fe34c0c011a9291017	2016	4
text595936	2016-04-02	朝刊	新潟全県・２地方	22	1577	（地域包括ケア＠新潟：３１）広がる「健康経営」：上　社員の健康作り、積極的に／新潟県	a0ca1f7b794e3d793df47da3411ff5cb	2016	4
text595937	2016-04-02	朝刊	静岡全県・２地方	22	1424	生半可な気持ちで政治参加、恐ろしい　静岡市長選違反で有罪、高田氏に聞く　／静岡県	14cae88e6cb71746e21539ed390c0b40	2016	4
text595938	2016-04-02	朝刊	福島中会・１地方	23	1775	春踏みだす　葛尾、「役場」再開　浪江・南相馬、進む帰還準備　／福島県	aa20cfdb208d02b401d46a8f29ec44ce	2016	4
text595939	2016-04-02	朝刊	福島中会・１地方	23	239	避難指示解除「５・６月に」　葛尾村長が見通し　１０日に説明会　／福島県	ef7494deee6ad3ab5f0be9f1ba0ac184	2016	4
text595940	2016-04-02	朝刊	秋田全県・１地方	23	2207	決意さまざま新年度　県内各地でそれぞれの第一歩　／秋田県	89ea88824afc734c9cf2a88c6ee4b9b5	2016	4
text595941	2016-04-02	朝刊	湘南・１地方	23	296	横須賀市長に避難基準報告　政府が原子力艦巡り　／神奈川県	02f75d8599be4ef8c8fb831c6c754d11	2016	4
text595942	2016-04-02	朝刊	山梨全県・１地方	23	1788	新年度、私の誓い　県内各地で辞令交付式や入社式　／山梨県	8fdcd0cae0adb990a1763cdf8196677c	2016	4
text595943	2016-04-02	朝刊	徳島全県・１地方	24	297	「野党の共闘を支えなければ」　市民連合・高知／徳島　／徳島県	ae7067910a9c819633e8c5d41024de2d	2016	4
text595944	2016-04-02	朝刊	徳島全県・１地方	24	233	現場に足運び、施策進めたい　美馬・県教育長抱負　／徳島県	16d61eb5fa9b20fd5416b6624e7c15cc	2016	4
text595945	2016-04-02	朝刊	大阪市内・１地方	25	1690	人口増の陰、保育・医療は　茨木市政の課題探る　市長選・市議補選、あす告示／大阪府	b8fe9612d5891400848227fd47e62ea2	2016	4
